,year_event,country_event,event
0,1945,Malta,"Malta Conference (1945); President Franklin D. Roosevelt of the United States and Prime Minister Winston Churchill of the United Kingdom meet on Malta to plan the final campaign against the Germans with the combined Chiefs of Staff, and to prepare for the Yalta Conference. (to 3 February)"
1,1946,Albania,"The People's Assembly proclaimed the Socialist People's Republic of Albania, signalling the beginning of purges of noncommunists from positions of power."
2,1946,Belgium,"Belgian general election, 1946"
3,1946,Bulgary,Georgi Dimitrov became the leader of the communist party.
4,1946,Croatia,The 1946 Yugoslav Constitution came into force.
5,1946,Cyprus,The British Government began to imprison thousands of displaced Jews in camps on Cyprus.
6,1946,Finland,Juho Kusti Paasikivi became president of Finland.[8]
7,1946,France,France adopted the constitution of the Fourth Republic.
8,1946,Germany,"The first of the Allied plans for German industry after World War II, which called for the reduction of German industrial capacity, was issued by the Allied Control Council."
9,1946,Iceland,The Keflavik Agreement.[citation needed]
10,1946,Italy,Birth of the Italian Republic: Italy becomes a republic after the results of a popular referendum. The Constituent Assembly is elected to draft the Republican Constitution. Women are granted suffrage too. Umberto II becomes the last king of Italy.
11,1946,Malta,A National Assembly is created.
12,1946,Romania,The Romanian Communist Party wins the elections amid unrest and allegations of electoral fraud by opposition groups and the government of the United Kingdom.
13,1946,Russia,The Soviet-backed Kurdish Republic of Mahabad declared its independence from Iran.
14,1946,Serbia,"the National Committee for the War Crimes and Reparations concludes that 1,7 million people have died during World War II in Yugoslavia, many of whom were victims of civil war and the Croatian racial policy. Serbs account for about 65% of the total victim count, or 1,2 million people[citation needed]. About one third of the numbers are the victims of the Jasenovac concentration camp, according to this research. These numbers are a matter of controversy today but, nevertheless, reflect a high level of human losses in the country during World War II."
15,1947,Albania,Corfu Channel Incident: United Nations Security Council Resolution 22 recommended that the International Court of Justice settle the dispute between the UK and Albania regarding the sinking of two British ships in the Straits of Corfu.
16,1947,Belgium,Victor Horta dies.
17,1947,Bulgary,Bulgaria and the Soviet Union signed a peace treaty.
18,1947,Croatia,"The Paris Peace Treaties, 1947 were signed, solidifying Yugoslavia's border with Italy and establishing the Free Territory of Trieste, half of which was to be under Yugoslavian military occupation.[citation needed]"
19,1947,Finland,The Paris Peace Treaties were signed and restored borders from 1 January 1941.
20,1947,France,Vincent Auriol began his term as the first president of the Fourth Republic.
21,1947,Germany,Planck died.
22,1947,Italy,"Primo Levi publishes If This Is a Man, based on his experiences in Auschwitz.[10]"
23,1947,Malta,Restoration of Self-Government.
24,1947,Romania,"Following the abdication of Mihai I, the People's Republic of Romania is declared on December 30 against the majority of people who supported the monarchy. The new leader of Romania becomes Gheorghe Gheorghiu-Dej, General Secretary of the Romanian Communist Party;"
25,1947,Russia,The Cominform was established in order to coordinate Communist parties under Soviet control.
26,1947,Slovenia,21 countries sign the Paris peace conference with Italy.
