,year_event,country_event_x,event_x,country_event_y,event_y
0,1945,Malta,"Malta Conference (1945); President Franklin D. Roosevelt of the United States and Prime Minister Winston Churchill of the United Kingdom meet on Malta to plan the final campaign against the Germans with the combined Chiefs of Staff, and to prepare for the Yalta Conference. (to 3 February)",Luxembourgo, City besieged by German V-3 cannon.
1,1946,Albania,"The People's Assembly proclaimed the Socialist People's Republic of Albania, signalling the beginning of purges of noncommunists from positions of power.",Greek, Fighting resumes between the Government and the Communists.
2,1946,Albania,"The People's Assembly proclaimed the Socialist People's Republic of Albania, signalling the beginning of purges of noncommunists from positions of power.",Greek, A national referendum favours constitutional monarchy.
3,1946,Albania,"The People's Assembly proclaimed the Socialist People's Republic of Albania, signalling the beginning of purges of noncommunists from positions of power.",Greek, King George II returns to Greece.
4,1946,Albania,"The People's Assembly proclaimed the Socialist People's Republic of Albania, signalling the beginning of purges of noncommunists from positions of power.",Luxembourgo, Émile Hamilius becomes mayor.
5,1946,Belgium,"Belgian general election, 1946",Greek, Fighting resumes between the Government and the Communists.
6,1946,Belgium,"Belgian general election, 1946",Greek, A national referendum favours constitutional monarchy.
7,1946,Belgium,"Belgian general election, 1946",Greek, King George II returns to Greece.
8,1946,Belgium,"Belgian general election, 1946",Luxembourgo, Émile Hamilius becomes mayor.
9,1946,Bulgary,Georgi Dimitrov became the leader of the communist party.,Greek, Fighting resumes between the Government and the Communists.
10,1946,Bulgary,Georgi Dimitrov became the leader of the communist party.,Greek, A national referendum favours constitutional monarchy.
11,1946,Bulgary,Georgi Dimitrov became the leader of the communist party.,Greek, King George II returns to Greece.
12,1946,Bulgary,Georgi Dimitrov became the leader of the communist party.,Luxembourgo, Émile Hamilius becomes mayor.
13,1946,Croatia,The 1946 Yugoslav Constitution came into force.,Greek, Fighting resumes between the Government and the Communists.
14,1946,Croatia,The 1946 Yugoslav Constitution came into force.,Greek, A national referendum favours constitutional monarchy.
15,1946,Croatia,The 1946 Yugoslav Constitution came into force.,Greek, King George II returns to Greece.
16,1946,Croatia,The 1946 Yugoslav Constitution came into force.,Luxembourgo, Émile Hamilius becomes mayor.
17,1946,Cyprus,The British Government began to imprison thousands of displaced Jews in camps on Cyprus.,Greek, Fighting resumes between the Government and the Communists.
18,1946,Cyprus,The British Government began to imprison thousands of displaced Jews in camps on Cyprus.,Greek, A national referendum favours constitutional monarchy.
19,1946,Cyprus,The British Government began to imprison thousands of displaced Jews in camps on Cyprus.,Greek, King George II returns to Greece.
20,1946,Cyprus,The British Government began to imprison thousands of displaced Jews in camps on Cyprus.,Luxembourgo, Émile Hamilius becomes mayor.
21,1946,Finland,Juho Kusti Paasikivi became president of Finland.[8],Greek, Fighting resumes between the Government and the Communists.
22,1946,Finland,Juho Kusti Paasikivi became president of Finland.[8],Greek, A national referendum favours constitutional monarchy.
23,1946,Finland,Juho Kusti Paasikivi became president of Finland.[8],Greek, King George II returns to Greece.
24,1946,Finland,Juho Kusti Paasikivi became president of Finland.[8],Luxembourgo, Émile Hamilius becomes mayor.
25,1946,France,France adopted the constitution of the Fourth Republic.,Greek, Fighting resumes between the Government and the Communists.
26,1946,France,France adopted the constitution of the Fourth Republic.,Greek, A national referendum favours constitutional monarchy.
27,1946,France,France adopted the constitution of the Fourth Republic.,Greek, King George II returns to Greece.
28,1946,France,France adopted the constitution of the Fourth Republic.,Luxembourgo, Émile Hamilius becomes mayor.
29,1946,Germany,"The first of the Allied plans for German industry after World War II, which called for the reduction of German industrial capacity, was issued by the Allied Control Council.",Greek, Fighting resumes between the Government and the Communists.
30,1946,Germany,"The first of the Allied plans for German industry after World War II, which called for the reduction of German industrial capacity, was issued by the Allied Control Council.",Greek, A national referendum favours constitutional monarchy.
31,1946,Germany,"The first of the Allied plans for German industry after World War II, which called for the reduction of German industrial capacity, was issued by the Allied Control Council.",Greek, King George II returns to Greece.
32,1946,Germany,"The first of the Allied plans for German industry after World War II, which called for the reduction of German industrial capacity, was issued by the Allied Control Council.",Luxembourgo, Émile Hamilius becomes mayor.
33,1946,Iceland,The Keflavik Agreement.[citation needed],Greek, Fighting resumes between the Government and the Communists.
34,1946,Iceland,The Keflavik Agreement.[citation needed],Greek, A national referendum favours constitutional monarchy.
35,1946,Iceland,The Keflavik Agreement.[citation needed],Greek, King George II returns to Greece.
36,1946,Iceland,The Keflavik Agreement.[citation needed],Luxembourgo, Émile Hamilius becomes mayor.
37,1946,Italy,Birth of the Italian Republic: Italy becomes a republic after the results of a popular referendum. The Constituent Assembly is elected to draft the Republican Constitution. Women are granted suffrage too. Umberto II becomes the last king of Italy.,Greek, Fighting resumes between the Government and the Communists.
38,1946,Italy,Birth of the Italian Republic: Italy becomes a republic after the results of a popular referendum. The Constituent Assembly is elected to draft the Republican Constitution. Women are granted suffrage too. Umberto II becomes the last king of Italy.,Greek, A national referendum favours constitutional monarchy.
39,1946,Italy,Birth of the Italian Republic: Italy becomes a republic after the results of a popular referendum. The Constituent Assembly is elected to draft the Republican Constitution. Women are granted suffrage too. Umberto II becomes the last king of Italy.,Greek, King George II returns to Greece.
40,1946,Italy,Birth of the Italian Republic: Italy becomes a republic after the results of a popular referendum. The Constituent Assembly is elected to draft the Republican Constitution. Women are granted suffrage too. Umberto II becomes the last king of Italy.,Luxembourgo, Émile Hamilius becomes mayor.
41,1946,Malta,A National Assembly is created.,Greek, Fighting resumes between the Government and the Communists.
42,1946,Malta,A National Assembly is created.,Greek, A national referendum favours constitutional monarchy.
43,1946,Malta,A National Assembly is created.,Greek, King George II returns to Greece.
44,1946,Malta,A National Assembly is created.,Luxembourgo, Émile Hamilius becomes mayor.
