Column1;country;country_code;indicator;indicator_user;year;value
0;Albania;ALB;gdp_growth;GDP Growth (%);1960;
1;Albania;ALB;gdp_growth;GDP Growth (%);1961;
2;Albania;ALB;gdp_growth;GDP Growth (%);1962;
3;Albania;ALB;gdp_growth;GDP Growth (%);1963;
4;Albania;ALB;gdp_growth;GDP Growth (%);1964;
5;Albania;ALB;gdp_growth;GDP Growth (%);1965;
6;Albania;ALB;gdp_growth;GDP Growth (%);1966;
7;Albania;ALB;gdp_growth;GDP Growth (%);1967;
8;Albania;ALB;gdp_growth;GDP Growth (%);1968;
9;Albania;ALB;gdp_growth;GDP Growth (%);1969;
10;Albania;ALB;gdp_growth;GDP Growth (%);1970;"5.6							"
11;Albania;ALB;gdp_growth;GDP Growth (%);1971;"8.1							"
12;Albania;ALB;gdp_growth;GDP Growth (%);1972;"4.2							"
13;Albania;ALB;gdp_growth;GDP Growth (%);1973;"5.0							"
14;Albania;ALB;gdp_growth;GDP Growth (%);1974;"8.5							"
15;Albania;ALB;gdp_growth;GDP Growth (%);1975;"3.6							"
16;Albania;ALB;gdp_growth;GDP Growth (%);1976;"3.9							"
17;Albania;ALB;gdp_growth;GDP Growth (%);1977;"8.0							"
18;Albania;ALB;gdp_growth;GDP Growth (%);1978;"6.9							"
19;Albania;ALB;gdp_growth;GDP Growth (%);1979;"7.0							"
20;Albania;ALB;gdp_growth;GDP Growth (%);1980;"2.2							"
21;Albania;ALB;gdp_growth;GDP Growth (%);1981;"5.75							"
22;Albania;ALB;gdp_growth;GDP Growth (%);1982;"2.95							"
23;Albania;ALB;gdp_growth;GDP Growth (%);1983;"1.1							"
24;Albania;ALB;gdp_growth;GDP Growth (%);1984;"-1.25							"
25;Albania;ALB;gdp_growth;GDP Growth (%);1985;"1.78							"
26;Albania;ALB;gdp_growth;GDP Growth (%);1986;"5.64							"
27;Albania;ALB;gdp_growth;GDP Growth (%);1987;"-0.79							"
28;Albania;ALB;gdp_growth;GDP Growth (%);1988;"-1.42							"
29;Albania;ALB;gdp_growth;GDP Growth (%);1989;"9.84							"
30;Albania;ALB;gdp_growth;GDP Growth (%);1990;"-9.58							"
31;Albania;ALB;gdp_growth;GDP Growth (%);1991;"-28.0							"
32;Albania;ALB;gdp_growth;GDP Growth (%);1992;"-7.19							"
33;Albania;ALB;gdp_growth;GDP Growth (%);1993;"9.56							"
34;Albania;ALB;gdp_growth;GDP Growth (%);1994;"8.3							"
35;Albania;ALB;gdp_growth;GDP Growth (%);1995;"13.32							"
36;Albania;ALB;gdp_growth;GDP Growth (%);1996;"9.1							"
37;Albania;ALB;gdp_growth;GDP Growth (%);1997;"-10.92							"
38;Albania;ALB;gdp_growth;GDP Growth (%);1998;"8.83							"
39;Albania;ALB;gdp_growth;GDP Growth (%);1999;"12.89							"
40;Albania;ALB;gdp_growth;GDP Growth (%);2000;"6.95							"
